"","Pyruvate7a","Pyruvate7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_pyr7_vs_pyr5"
"MT0138",0,19.3145854129528,30.2167730942326,21.972587980395,1.25939657275977,5.2787028616826,0.453185091343254,1
"MT0139",32.5621381964281,38.6291708259056,40.2890307923101,43.94517596079,0.225300516287489,5.89685237057066,0.999999999999999,1
"MT0140",21.7080921309521,0,10.0722576980775,10.9862939901975,0.0357064740872741,4.96031430810461,1,1
"MT0142",54.2702303273802,86.9156343582877,70.5058038865426,87.8903519215801,0.137376384390933,6.58160188405225,1,1
"MT0143",32.5621381964281,19.3145854129528,0,32.9588819705925,-0.651823403938806,5.37607746955961,0.740738835705695,1
"MT0144",0,9.65729270647641,50.3612884903876,32.9588819705925,2.75802649321688,5.46044682194242,0.0390934114773223,0.530141281103909
"MT0145",32.5621381964281,19.3145854129528,10.0722576980775,0,-2.03519807318298,5.18033711616504,0.218801510638849,1
"MT0146",0,28.9718781194292,10.0722576980775,0,-1.33141013335994,4.95458593307373,0.658067516034029,1
"MT0147",97.6864145892843,9.65729270647641,20.144515396155,32.9588819705925,-0.954122415904877,5.90372546085659,0.417172560033302,1
"MT0148",0,19.3145854129528,30.2167730942326,54.9314699509875,1.91349236276438,5.54441856200702,0.114329603293126,0.876191495173839
"MT0149",108.54046065476,106.230219771241,90.6503192826977,65.9177639411851,-0.439047783088919,6.83080272732047,0.405343662413555,1
"MT0150",86.8323685238083,67.6010489453349,40.2890307923101,65.9177639411851,-0.533821440415364,6.41960516893255,0.424570225221104,1
"MT0151",54.2702303273802,86.9156343582877,80.5780615846201,54.9314699509875,-0.0655089547617285,6.49882925520377,0.999999999999961,1
"MT0152",97.6864145892843,115.887512477717,110.794834678853,54.9314699509875,-0.347577640738121,6.86058027393578,0.515526625961513,1
"MT0153",206.226875244045,202.803146836005,292.095473244248,384.520289656913,0.716180975899685,8.18641806738887,0.0235556596464816,0.4169437505393
"MT0154",21.7080921309521,19.3145854129528,110.794834678853,65.9177639411851,2.0597518354604,6.23160127535646,0.00721872312154041,0.202509980699702
"MT0155",184.518783113093,202.803146836005,110.794834678853,109.862939901975,-0.807845598761404,7.43607303304589,0.0562664478786517,0.644171950012601
"MT0156",151.956644916664,106.230219771241,110.794834678853,54.9314699509875,-0.598885223045471,6.98702759829611,0.230013899363253,1
"MT0157",21.7080921309521,125.544805184193,70.5058038865426,87.8903519215801,0.0595077678414051,6.6149357813532,1,1
