"","Glycerol7a","Glycerol7b","Glycerol5a","Glycerol5b","logFC","logCPM","PValue","FDR_gly7_vs_gly5"
"MT0085",26.8618669123079,37.0860142624319,25.4959658486636,80.2450627816935,0.669992778740012,5.91968847496197,0.481127234100923,1
"MT0086",0,0,12.7479829243318,13.3741771302823,3.51545047682058,4.65431223859196,0.500027532819042,1
"MT0089",35.8158225497438,22.2516085574591,25.4959658486636,26.7483542605645,-0.115992994425362,5.57191526074337,1,1
"MT0090",44.7697781871798,66.7548256723774,50.9919316973272,26.7483542605645,-0.522370391395974,6.11531998963901,0.6477804239371,1
"MT0091",26.8618669123079,37.0860142624319,63.739914621659,40.1225313908468,0.665662027675054,5.9179526482621,0.454700054631081,1
"MT0092",8.95395563743596,22.2516085574591,0,13.3741771302823,-1.16808486561903,5.01409353310484,0.625041295817921,1
"MT0093",89.5395563743596,74.1720285248638,12.7479829243318,40.1225313908468,-1.59044441132273,6.29388714389076,0.0526198870732089,0.471066978999607
"MT0096",17.9079112748719,14.8344057049728,89.2358804703225,53.496708521129,2.0632579478581,5.88174260965133,0.0213258329343828,0.275002722915878
"MT0098",35.8158225497438,29.6688114099455,50.9919316973272,40.1225313908468,0.477804748381873,5.85573977834816,0.607390088079609,1
"MT0100",8.95395563743596,22.2516085574591,12.7479829243318,0,-1.1680924825873,5.013482905194,0.625041295817921,1
"MT0101",53.7237338246157,37.0860142624319,76.4878975459907,66.8708856514113,0.67105915396753,6.24856982806228,0.286572449965133,0.932472729886546
"MT0103",8.95395563743596,0,12.7479829243318,0,0.551256282145197,4.64824150459201,1,1
"MT0107",17.9079112748719,7.41720285248638,12.7479829243318,0,-0.787111911241127,4.90575102467394,1,1
"MT0108",0,7.41720285248638,0,13.3741771302823,0.551293725601204,4.64531492259379,1,1
"MT0110",134.309334561539,81.5892313773502,127.479829243318,120.36759417254,0.226579596726048,7.06672921882837,0.779450948691863,1
