"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0019",110.213064712225,83.9710952174849,124.198294914886,151.195598024525,0.511289210260066,7.10202903969074,0.308829622989007,0.996453810104354
"MT0020",44.0852258848901,37.3204867633266,41.3994316382954,43.1987422927215,0.0628704792098561,5.95497090257876,1,1
"MT0021",319.617887665453,111.96146028998,144.898010734034,118.796541304984,-0.67494142565692,7.59067654078985,0.204556277021658,0.937144677480333
"MT0022",77.1491452985576,121.291581980811,124.198294914886,64.7981134390822,-0.0846451206528364,6.88677982643492,0.999999999999999,1
"MT0023",573.107936503571,634.448274976552,310.495737287215,334.790252768591,-0.907109352239453,8.92197435144499,0.000306641802353638,0.0177462858949423
"MT0024",44.0852258848901,9.33012169083165,20.6997158191477,0,-1.18187060991286,5.27861683366828,0.490854849492301,1
"MT0025",0,0,10.3498579095738,10.7996855731804,3.19910355402765,4.69183263353601,0.500019188504197,1
"MT0026",99.1917582410027,9.33012169083165,10.3498579095738,10.7996855731804,-2.18182912304858,5.69895192562491,0.106011393196527,0.781200222979494
"MT0027",33.0639194136676,55.9807301449899,31.0495737287215,32.3990567195411,-0.502908425456178,5.88906993460077,0.607344244109518,1
"MT0028",44.0852258848901,27.990365072495,20.6997158191477,21.5993711463607,-0.7087171111702,5.61794701466065,0.548914678204442,1
"MT0029",22.042612942445,55.9807301449899,10.3498579095738,32.3990567195411,-0.889241736098702,5.6862155090628,0.40669196494101,1
"MT0030",11.0213064712225,0,20.6997158191477,0,0.901752926720759,4.82972167499178,1,1
"MT0032",33.0639194136676,9.33012169083165,20.6997158191477,21.5993711463607,0.0610059557341441,5.37211296939773,1,1
"MT0033",22.042612942445,0,10.3498579095738,10.7996855731804,0.0576175741981312,4.95694306013194,1,1
"MT0034",11.0213064712225,18.6602433816633,10.3498579095738,21.5993711463607,0.0598632297369642,5.17583369989675,1,1
"MT0035",11.0213064712225,0,20.6997158191477,10.7996855731804,1.43437611441731,4.95597958059385,0.625028781099251,1
"MT0036",11.0213064712225,9.33012169083165,0,0,-3.1414675785914,4.6904152319196,0.500019188504197,1
"MT0037",66.1278388273351,139.951825362475,10.3498579095738,21.5993711463607,-2.63623044757375,6.35594048942442,0.00123781189110243,0.0490550234234725
"MT0039",22.042612942445,9.33012169083165,0,0,-3.67088639349533,4.82898478981677,0.250028782756125,0.937144677480333
"MT0040",88.1704517697802,65.3108518358216,31.0495737287215,43.1987422927215,-1.00958303680172,6.27629598059492,0.133964334135043,0.812244795996192
"MT0041",33.0639194136676,130.621703671643,93.1487211861646,43.1987422927215,-0.29562334509465,6.60494586373119,0.762454409977674,1
"MT0042",55.1065323561126,55.9807301449899,103.498579095738,64.7981134390822,0.594128701818161,6.49902182277567,0.442306789185765,1
"MT0043",22.042612942445,65.3108518358216,20.6997158191477,43.1987422927215,-0.495068877570212,5.88730250461949,0.627117017926123,1
"MT0044",33.0639194136676,65.3108518358216,31.0495737287215,53.9984278659018,-0.250055901519539,6.0659501722111,0.81459344971343,1
"MT0046",220.42612942445,223.92292057996,93.1487211861646,97.1971701586233,-1.21342850078411,7.4924152668543,0.00284976448938354,0.089571045933555
"MT0047",88.1704517697802,65.3108518358216,175.947584462755,118.796541304984,0.952408585258272,7.04605535396282,0.073404106683355,0.677547779664588
"MT0048",33.0639194136676,27.990365072495,10.3498579095738,10.7996855731804,-1.41399711542377,5.36825638485117,0.289138047486544,0.974304363341905
"MT0049",22.042612942445,18.6602433816633,10.3498579095738,10.7996855731804,-0.858211725084353,5.17613377764566,0.687535974303402,1
"MT0050",22.042612942445,27.990365072495,51.7492895478692,0,0.057936136126655,5.53682981934027,1,1
"MT0051",132.25567765467,223.92292057996,124.198294914886,118.796541304984,-0.571385926230607,7.42488633986183,0.22857328548031,0.937144677480333
"MT0052",418.809645906456,419.855476087424,445.043890111675,280.791824902689,-0.203061687464019,8.68743177623326,0.50379981431946,1
"MT0053",231.447435895673,149.281947053306,113.848437005312,107.996855731804,-0.74970129924344,7.41647454421926,0.0644460506550989,0.664526631890687
"MT0054",44.0852258848901,27.990365072495,31.0495737287215,32.3990567195411,-0.151712821359829,5.76306417308526,1,1
"MT0055",44.0852258848901,9.33012169083165,20.6997158191477,21.5993711463607,-0.248615211886801,5.46053782466022,1,1
"MT0056",330.639194136676,298.563894106613,258.746447739346,323.990567195411,-0.108016529497767,8.3368814901281,0.733852532815761,1
"MT0057",88.1704517697802,46.6506084541583,72.4490053670169,43.1987422927215,-0.173948261716878,6.37225661473446,0.841183857032407,1
"MT0058",44.0852258848901,37.3204867633266,72.4490053670169,21.5993711463607,0.225894249024106,6.01276702918693,1,1
"MT0059",55.1065323561126,9.33012169083165,20.6997158191477,32.3990567195411,-0.201890374805966,5.62258192321072,1,1
"MT0060",77.1491452985576,83.9710952174849,82.7988632765908,118.796541304984,0.308353988657836,6.79659986790183,0.736050957394621,1
"MT0061",22.042612942445,27.990365072495,82.7988632765908,53.9984278659018,1.39828825925147,6.07090128815881,0.0963665851214616,0.753975470714268
"MT0062",176.34090353956,167.94219043497,186.297442372329,129.596226878164,-0.115683893073561,7.5379658144986,0.905927465888212,1
"MT0063",22.042612942445,18.6602433816633,20.6997158191477,10.7996855731804,-0.326588764941265,5.27575355037206,1,1
"MT0064",187.362210010783,335.884380869939,238.046731920199,291.59151047587,-0.00777818436837042,8.15500434058935,1,1
"MT0065",0,18.6602433816633,51.7492895478692,0,1.29508436511571,5.27325170598142,0.555122153908699,1
"MT0066",99.1917582410027,83.9710952174849,72.4490053670169,75.5977990122626,-0.293119623094239,6.69159715596667,0.596842188761332,1
"MT0066.1",22.042612942445,46.6506084541583,31.0495737287215,32.3990567195411,-0.151676033274033,5.75825102153283,1,1
"MT0067",88.1704517697802,111.96146028998,72.4490053670169,97.1971701586233,-0.25351337629359,6.82587420428951,0.736050957394621,1
"MT0068",99.1917582410027,55.9807301449899,82.7988632765908,53.9984278659018,-0.139952911219055,6.54228012774021,0.852035042734165,1
"MT0069",11.0213064712225,0,0,32.3990567195411,1.43036636089335,4.95729380066767,0.65563391617888,1
"MT0070",110.213064712225,74.6409735266532,82.7988632765908,151.195598024525,0.348799196372862,6.96021806743767,0.554739584434429,1
"MT0071",33.0639194136676,18.6602433816633,41.3994316382954,10.7996855731804,0.0609006527892136,5.53992992435475,1,1
"MT0072",88.1704517697802,149.281947053306,82.7988632765908,140.395912451345,-0.121638528968702,7.09225538020139,1,1
"MT0074",11.0213064712225,0,10.3498579095738,10.7996855731804,0.902753154274225,4.83038535386218,0.999999999999776,1
"MT0075",11.0213064712225,9.33012169083165,20.6997158191477,10.7996855731804,0.589258935579339,5.06984771084483,1,1
"MT0076",0,18.6602433816633,20.6997158191477,21.5993711463607,0.976890455711364,5.17489120336804,0.687535974303402,1
"MT0078",66.1278388273351,27.990365072495,31.0495737287215,32.3990567195411,-0.502963599587691,5.89614723510863,0.607344244109518,1
"MT0079",55.1065323561126,37.3204867633266,41.3994316382954,21.5993711463607,-0.502949916219118,5.89319708245222,0.607344244109518,1
"MT0080",44.0852258848901,27.990365072495,31.0495737287215,43.1987422927215,0.0625933786364688,5.83082762411512,1,1
"MT0081",44.0852258848901,9.33012169083165,10.3498579095738,64.7981134390822,0.514206298804037,5.69752897422554,0.810959581123496,1
"MT0082",11.0213064712225,18.6602433816633,31.0495737287215,10.7996855731804,0.447466930567559,5.27482022550822,1,1
"MT0083",11.0213064712225,18.6602433816633,31.0495737287215,43.1987422927215,1.21878212933884,5.53996959847234,0.343844428923149,1
"MT0084",11.0213064712225,9.33012169083165,10.3498579095738,21.5993711463607,0.589263644912658,5.07049739660664,1,1
"MT0085",33.0639194136676,46.6506084541583,41.3994316382954,53.9984278659018,0.228056781533873,6.01218818784044,1,1
"MT0086",0,0,51.7492895478692,32.3990567195411,5.07619182010187,5.37158116831929,0.00782089738683374,0.202233984910609
"MT0088",11.0213064712225,0,10.3498579095738,64.7981134390822,2.59177219410593,5.37440065100094,0.11505435619158,0.781200222979494
"MT0089",44.0852258848901,27.990365072495,31.0495737287215,32.3990567195411,-0.151712821359829,5.76306417308526,1,1
"MT0090",55.1065323561126,83.9710952174849,62.0991474574431,32.3990567195411,-0.560021367069283,6.31794415829286,0.405082157234101,1
"MT0091",33.0639194136676,46.6506084541583,20.6997158191477,21.5993711463607,-0.894968022462402,5.68803901883151,0.387806597326044,1
"MT0092",11.0213064712225,27.990365072495,20.6997158191477,21.5993711463607,0.0610427524058947,5.36703827240837,1,1
"MT0093",110.213064712225,93.3012169083165,72.4490053670169,75.5977990122626,-0.443102749080188,6.76157304235144,0.391839035009271,1
"MT0096",22.042612942445,18.6602433816633,62.0991474574431,64.7981134390822,1.58951809738763,5.95738260018423,0.0769022737769345,0.688908329706888
"MT0098",44.0852258848901,37.3204867633266,41.3994316382954,32.3990567195411,-0.123680633196668,5.89292088038394,1,1
"MT0100",11.0213064712225,27.990365072495,0,10.7996855731804,-1.70907936053294,5.0665121571997,0.375047968498864,1
"MT0101",66.1278388273351,46.6506084541583,144.898010734034,140.395912451345,1.34013579508031,6.89909056687142,0.0139210815609527,0.283554543973373
"MT0102",0,0,10.3498579095738,21.5993711463607,3.73073122350406,4.83007598736625,0.250028782756125,0.937144677480333
"MT0103",11.0213064712225,0,31.0495737287215,32.3990567195411,2.3789935233562,5.27935671822876,0.125050369822781,0.781200222979494
"MT0107",22.042612942445,9.33012169083165,0,0,-3.67088639349533,4.82898478981677,0.250028782756125,0.937144677480333
"MT0108",0,9.33012169083165,10.3498579095738,10.7996855731804,0.902771556787817,4.82770358385858,0.999999999999776,1
"MT0110",165.319597068338,102.631338599148,196.647300281903,172.794969170886,0.486593574155099,7.48452698083854,0.281819227022968,0.974304363341905
"MT0111",11.0213064712225,55.9807301449899,82.7988632765908,86.3974845854429,1.22829843500329,6.32159302392801,0.0955399870561747,0.753975470714268
"MT0112",154.298290597115,93.3012169083165,124.198294914886,151.195598024525,0.176508695242204,7.23363951753967,0.788606183255615,1
"MT0113",33.0639194136676,65.3108518358216,10.3498579095738,21.5993711463607,-1.5955259131748,5.75548472054755,0.0923655471272272,0.749206690997414
"MT0115",0,9.33012169083165,20.6997158191477,10.7996855731804,1.4343945169309,4.95332789847972,0.625028781099251,1
"MT0116",385.745726492788,391.865111014929,103.498579095738,194.394340317247,-1.38560965514613,8.18193010283796,4.66633642713181e-05,0.00354447137777554
"MT0117",253.490048838118,93.3012169083165,82.7988632765908,183.594654744066,-0.355494478060561,7.42683822236314,0.564633528285214,1
"MT0118",0,18.6602433816633,10.3498579095738,10.7996855731804,0.0576543764397538,4.95164062594261,1,1
"MT0120",209.404822953228,270.573529034118,134.54815282446,107.996855731804,-0.986906075275081,7.66268837249702,0.0135805212002614,0.281332842591778
